target,source
Nine Months,Comedy
Party Girl,Comedy
The Prophecy,Thriller
Reckless,Drama
Safe,Drama
The Scarlet Letter,Romance
The Show,Documentary
Showgirls,Drama
Smoke,Drama
Something to Talk About,Comedy
Species,Action
The Stars Fell on Henrietta,Drama
Strange Days,Thriller
The Umbrellas of Cherbourg,Romance
The Tie That Binds,Thriller
Three Wishes,Fantasy
Total Eclipse,Romance
"To Wong Foo, Thanks for Everything! Julie Newmar",Comedy
Under Siege 2: Dark Territory,Thriller
Unstrung Heroes,Family
Unzipped,Documentary
A Walk in the Clouds,Romance
Waterworld,Action
White Man's Burden,Drama
Wild Bill,Western
The Browning Version,Drama
Bushwhacked,Family
Burnt by the Sun,Drama
Before the Rain,War
Before Sunrise,Romance
Billy Madison,Comedy
The Babysitter,Thriller
Boys on the Side,Drama
The Cure,Family
Castle Freak,Mystery
Circle of Friends,Romance
Clerks,Comedy
Don Juan DeMarco,Comedy
Disclosure,Romance
Dream Man,Thriller
Drop Zone,Thriller
Destiny Turns on the Radio,Fantasy
Death and the Maiden,Mystery
Dolores Claiborne,Mystery
Dumb and Dumber,Comedy
Eat Drink Man Woman,Romance
Exotica,Mystery
Exit to Eden,Romance
Ed Wood,History
French Kiss,Romance
Forget Paris,Romance
Far from Home: The Adventures of Yellow Dog,Family
A Goofy Movie,Adventure
Hideaway,Thriller
Fluke,Fantasy
Farinelli,Drama
Gordy,Fantasy
Gumby: The Movie,Family
The Glass Shield,Crime
Hoop Dreams,Documentary
Heavenly Creatures,Fantasy
Houseguest,Family
Immortal Beloved,Romance
Heavyweights,Drama
The Hunted,Thriller
I.Q.,Romance
Interview with the Vampire,Romance
Jefferson in Paris,Romance
The Jerky Boys,Crime
Junior,Romance
Just Cause,Thriller
A Kid in King Arthur's Court,Family
Kiss of Death,Thriller
Star Wars,Fiction
Little Women,Romance
A Little Princess,Fantasy
Ladybird Ladybird,Drama
L'Enfer,Drama
Like Water for Chocolate,Romance
Legends of the Fall,War
Major Payne,Family
Little Odessa,Drama
Mi Vida Loca,Drama
Love Affair,Romance
Losing Isaiah,Drama
The Madness of King George,History
Mary Shelley's Frankenstein,Romance
Man of the House,Family
Mixed Nuts,Romance
Milk Money,Romance
Miracle on 34th Street,Family
Miami Rhapsody,Romance
My Family,Drama
Murder in the First,Drama
Nobody's Fool,Comedy
Nell,Thriller
New Jersey Drive,Drama
New York Cop,Drama
Beyond Bedlam,Horror
Nemesis 2 - Nebula,Thriller
Nina Takes a Lover,Romance
Natural Born Killers,Drama
Only You,Romance
Once Were Warriors,Drama
Poison Ivy II: Lily,Thriller
Outbreak,Thriller
Leon: The Professional,Drama
The Perez Family,Romance
A Pyromaniac's Love Story,Romance
Pulp Fiction,Crime
Panther,Drama
Pushing Hands,Drama
Priest,Romance
Quiz Show,Drama
Picture Bride,History
Queen Margot,History
The Quick and the Dead,Western
Roommates,Comedy
Prêt-à-Porter,Comedy
Three Colors: Red,Romance
Three Colors: Blue,Mystery
Three Colors: White,Mystery
"Red Firecracker, Green Firecracker",Drama
Rent-a-Kid,Movie
Relative Fear,Drama
Stuart Saves His Family,Drama
The Swan Princess,Animation
The Secret of Roan Inish,Fantasy
The Specialist,Thriller
Stargate,Fiction
The Santa Clause,Family
The Shawshank Redemption,Crime
Shallow Grave,Thriller
Suture,Thriller
Strawberry and Chocolate,Drama
Swimming with Sharks,Comedy
The Sum of Us,Romance
Senior Trip,Comedy
To Live,War
Tank Girl,Fiction
Tales from the Crypt: Demon Knight,Thriller
Star Trek: Generations,Thriller
Tales from the Hood,Thriller
Tom & Viv,Romance
Village of the Damned,Fiction
Tommy Boy,Comedy
Vanya on 42nd Street,Romance
The Underneath,Crime
The Walking Dead,War
What's Eating Gilbert Grape,Drama
Virtuosity,Thriller
While You Were Sleeping,Romance
The War,Drama
Double Happiness,Romance
Muriel's Wedding,Romance
The Baby-Sitters Club,Family
Ace Ventura: Pet Detective,Mystery
"The Adventures of Priscilla, Queen of the Desert",Comedy
Backbeat,Music
Bitter Moon,Romance
Bullets Over Broadway,Thriller
Clear and Present Danger,Thriller
The Client,Mystery
"Corrina, Corrina",Romance
Crooklyn,Drama
The Crow,Thriller
Cobb,Drama
The Flintstones,Family
Forrest Gump,Romance
Four Weddings and a Funeral,Romance
Higher Learning,Crime
I Like It Like That,Romance
I Love Trouble,Romance
It Could Happen to You,Romance
The Jungle Book,Family
"The Wonderful, Horrible Life of Leni Riefenstahl",Foreign
The Lion King,Drama
Little Buddha,History
New Nightmare,Fantasy
The Mask,Fantasy
Maverick,Western
Mrs. Parker and the Vicious Circle,Drama
The Naked Gun 33⅓: The Final Insult,Crime
The Paper,Drama
Reality Bites,Drama
Red Rock West,Thriller
Ri¢hie Ri¢h,Family
Safe Passage,Drama
The River Wild,Thriller
Speed,Crime
Speechless,Romance
Timecop,Crime
True Lies,Thriller
When a Man Loves a Woman,Romance
Wolf,Fantasy
Wyatt Earp,Western
Bad Company,Thriller
A Man of No Importance,Drama
S.F.W.,Drama
A Low Down Dirty Shame,Crime
"Boys Life: Three Stories of Love, Lust, and Liberation",Drama
Colonel Chabert,Drama
"Faster, Pussycat! Kill! Kill!",Crime
Jason's Lyric,Romance
The Secret Adventures of Tom Thumb,Fiction
Street Fighter,Thriller
Coldblooded,Comedy
Desert Winds,Unknown
Fall Time,Thriller
The Fear,Thriller
Frank and Ollie,Documentary
Girl in the Cadillac,Drama
Homage,Drama
Mirage,Thriller
Open Season,Comedy
Dos Crímenes,Unknown
Brother Minister: The Assassination of Malcolm X,Documentary
Highlander: The Final Dimension,Fiction
Federal Hill,Unknown
In the Mouth of Madness,Thriller
8 Seconds,Romance
Above the Rim,Drama
Addams Family Values,Fantasy
Martin Lawrence: You So Crazy,Comedy
The Age of Innocence,Romance
Airheads,Music
The Air Up There,Family
Another Stakeout,Comedy
Bad Girls,Western
Barcelona,Romance
Being Human,Fantasy
The Beverly Hillbillies,Comedy
Beverly Hills Cop III,Crime
Black Beauty,Family
Blink,Thriller
Blown Away,Thriller
Blue Chips,Drama
Blue Sky,Romance
Body Snatchers,Thriller
Boxing Helena,Romance
A Bronx Tale,Crime
Cabin Boy,Comedy
Calendar Girl,Comedy
Carlito's Way,Thriller
City Slickers II: The Legend of Curly's Gold,Western
Clean Slate,Mystery
Cliffhanger,Thriller
Coneheads,Family
Color of Night,Thriller
Cops & Robbersons,Family
The Cowboy Way,Comedy
Dangerous Game,Drama
Dave,Comedy
Dazed and Confused,Drama
Demolition Man,Fiction
The Endless Summer 2,Documentary
Even Cowgirls Get the Blues,Romance
Fatal Instinct,Comedy
Farewell My Concubine,Drama
The Favor,Romance
Fearless,Drama
Fear of a Black Hat,Comedy
With Honors,Drama
Flesh and Bone,Romance
Widows' Peak,Foreign
For Love or Money,Romance
The Firm,Thriller
Free Willy,Adventure
Fresh,Thriller
The Fugitive,Mystery
Geronimo: An American Legend,Western
The Getaway,Thriller
Getting Even with Dad,Crime
Go Fish,Romance
A Good Man in Africa,Drama
Guilty as Sin,Thriller
Hard Target,Thriller
Heaven & Earth,Drama
Hot Shots! Part Deux,War
Live Nude Girls,Comedy
The Englishman Who Went Up a Hill But Came Down a Mountain,Romance
The House of the Spirits,Drama
House Party 3,Comedy
The Hudsucker Proxy,Drama
I'll Do Anything,Drama
In the Army Now,Comedy
In the Line of Fire,Mystery
In the Name of the Father,Drama
The Inkwell,Romance
What's Love Got to Do with It,Music
Jimmy Hollywood,Comedy
Judgment Night,Crime
Jurassic Park,Fiction
Kalifornia,Crime
Killing Zoe,Thriller
King of the Hill,Drama
Lassie,Family
Last Action Hero,Family
Life With Mikey,Family
Lightning Jack,Western
M. Butterfly,Romance
Made in America,Comedy
Malice,Crime
The Man without a Face,Drama
Manhattan Murder Mystery,Mystery
Menace II Society,Crime
Executive Decision,Thriller
In the Realm of the Senses,Romance
What Happened Was...,Romance
Much Ado About Nothing,Romance
Mr. Jones,Romance
Mr. Wonderful,Romance
Mrs. Doubtfire,Family
Naked,Drama
The Next Karate Kid,Adventure
The New Age,Drama
No Escape,Thriller
North,Fiction
Orlando,Fantasy
A Perfect World,Thriller
Philadelphia,Drama
The Piano,Romance
Poetic Justice,Romance
The Program,Drama
The Puppet Masters,Thriller
Radioland Murders,Romance
The Ref,Comedy
The Remains of the Day,Romance
Renaissance Man,War
Rising Sun,Thriller
The Road to Wellville,Romance
RoboCop 3,Thriller
Robin Hood: Men in Tights,Comedy
Romeo Is Bleeding,Thriller
Romper Stomper,Thriller
Ruby in Paradise,Romance
Rudy,Drama
The Saint of Fort Washington,Drama
Savage Nights,Drama
Schindler's List,War
The Scout,Drama
Searching for Bobby Fischer,Drama
Second Best,Drama
The Secret Garden,Fantasy
Serial Mom,Thriller
The Shadow,Fiction
Shadowlands,Romance
Short Cuts,Drama
A Simple Twist of Fate,Family
Sirens,Drama
Six Degrees of Separation,Comedy
Sleepless in Seattle,Romance
Sliver,Thriller
Blade Runner,Thriller
Son in Law,Romance
So I Married an Axe Murderer,Romance
Striking Distance,Thriller
Harem,Romance
Super Mario Bros.,Fantasy
Surviving the Game,Crime
Terminal Velocity,Thriller
Thirty Two Short Films About Glenn Gould,Music
Threesome,Romance
The Nightmare Before Christmas,Family
The Three Musketeers,Comedy
Tombstone,Western
Trial by Jury,Thriller
True Romance,Romance
The War Room,History
The Pagemaster,Animation
"Paris, France",Comedy
"The Beans of Egypt, Maine",Unknown
Killer,Romance
Welcome to the Dollhouse,Drama
Germinal,Romance
Chasers,Romance
Cronos,Thriller
Naked in New York,Romance
Kika,Drama
Bhaji on the Beach,Drama
Little Big League,Family
The Slingshot,Drama
Wide Eyed and Legless,Comedy
Foreign Student,Romance
"Ciao, Professore!",Foreign
Spanking the Monkey,Drama
The Little Rascals,Family
À la mode,Comedy
Andre,Adventure
The Escort,Drama
Princess Caraboo,Mystery
The Celluloid Closet,Documentary
Café au Lait,Foreign
Dear Diary,Drama
I Don't Want to Talk About It,Drama
The Brady Bunch Movie,Comedy
Home Alone,Family
Ghost,Romance
Aladdin,Romance
Terminator 2: Judgment Day,Fiction
Dances with Wolves,Western
Tough and Deadly,Drama
Batman,Action
The Silence of the Lambs,Thriller
Snow White and the Seven Dwarfs,Family
Beauty and the Beast,Music
Pinocchio,Family
Pretty Woman,Comedy
Window to Paris,Fantasy
The Wild Bunch,Western
Love and a .45,Thriller
The Wooden Man's Bride,Romance
A Great Day in Harlem,Unknown
Bye Bye Love,Romance
One Fine Day,Romance
Candyman: Farewell to the Flesh,Horror
Century,Drama
Fargo,Thriller
Homeward Bound II: Lost in San Francisco,Family
Heavy Metal,Fiction
Hellraiser: Bloodline,Fiction
The Pallbearer,Romance
Jane Eyre,Romance
Loaded,Thriller
Bread and Chocolate,Foreign
The Aristocats,Adventure
The Flower of My Secret,Romance
Two Much,Romance
Ed,Family
Scream of Stone,Documentary
My Favorite Season,Drama
A Modern Affair,Unknown
Condition Red,Drama
Halfaouine: Boy of the Terraces,Drama
A Thin Line Between Love and Hate,Romance
The Last Supper,Drama
Primal Fear,Thriller
Rude,Unknown
Carried Away,Romance
All Dogs Go to Heaven 2,Fantasy
Land and Freedom,Romance
Denise Calls Up,Comedy
Theodore Rex,Family
A Family Thing,Drama
Frisk,Thriller
Sgt. Bilko,Family
Jack & Sarah,Romance
Girl 6,Comedy
Diabolique,Thriller
"Little Indian, Big City",Family
Roula,Drama
Peanuts – Die Bank zahlt alles,Comedy
Happy Weekend,Comedy
Nelly and Monsieur Arnaud,Romance
Courage Under Fire,War
Mission: Impossible,Thriller
Cold Fever,Comedy
Moll Flanders,Romance
The Superwife,Comedy
"301, 302",Thriller
DragonHeart,Fantasy
Und keiner weint mir nach,Drama
My Mother's Courage,Drama
Eddie,Comedy
Yankee Zulu,Comedy
Billy's Holiday,Unknown
Purple Noon,Thriller
August,Drama
James and the Giant Peach,Family
Fear,Romance
Kids in the Hall: Brain Candy,Comedy
Faithful,Drama
Underground,Comedy
All Things Fair,Romance
Bloodsport II,Thriller
Pather Panchali,Drama
The World of Apu,Drama
Mystery Science Theater 3000: The Movie,Fiction
Tarantella,Unknown
Space Jam,Fantasy
Barbarella,Fiction
Hostile Intentions,Drama
They Bite,Fiction
Some Folks Call It a Sling Blade,Thriller
The Run of the Country,Romance
Alphaville,Mystery
Coup de Torchon,Drama
Tigrero: A Film That Was Never Made,Foreign
The Eye of Vichy,Unknown
Windows,Thriller
It's My Party,Drama
Country Life,Romance
Operation Dumbo Drop,Family
The Promise,Romance
Mrs. Winterbourne,Drama
Solo,Thriller
Under The Domim Tree,Foreign
The Substitute,Thriller
True Crime,Thriller
Butterfly Kiss,Thriller
Feeling Minnesota,Thriller
Delta of Venus,Romance
To Cross the Rubicon,Unknown
Angus,Romance
Priest Daens,History
Faces,Drama
Boys,Mystery
The Quest,Adventure
Cosi,Romance
Sunset Park,Drama
Mulholland Falls,Thriller
The Truth About Cats & Dogs,Romance
Oliver & Company,Family
Celtic Pride,Comedy
Flipper,Family
Captives,Romance
Of Love and Shadows,Drama
Dead Man,Western
The Horseman on the Roof,Romance
Switchblade Sisters,Drama
Mouth to Mouth,Foreign
The Visitors,Fiction
Multiplicity,Fiction
"The Haunted World of Edward D. Wood, Jr.",Documentary
Two Friends,Foreign
The Craft,Thriller
The Great White Hype,Drama
Last Dance,Thriller
War Stories Our Mother Never Told Us,Unknown
Cold Comfort Farm,Romance
"Institute Benjamenta, or This Dream People Call Human Life",Drama
Heaven's Prisoners,Thriller
Original Gangstas,Thriller
The Rock,Thriller
Getting Away with Murder,Comedy
Cemetery Man,Comedy
Twister,Drama
Barb Wire,Fiction
Le Garçu,Drama
Honeymoon,Comedy
Ghost in the Shell,Fiction
Thinner,Thriller
Spy Hard,Comedy
Brothers in Trouble,Drama
A Close Shave,Comedy
Force of Evil,Crime
The Stupids,Family
The Arrival,Thriller
The Man from Down Under,War
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,War
Careful,Fantasy
Vermont Is for Lovers,Unknown
A Month by the Lake,Romance
Gold Diggers: The Secret of Bear Mountain,Drama
Kim,Adventure
Carmen Miranda: Bananas Is My Business,Documentary
Ashes of Time,Action
The Jar,Unknown
Maya Lin: A Strong Clear Vision,Documentary
Stalingrad,War
The Phantom,Action
Striptease,Crime
The Last of the High Kings,Comedy
Heavy,Romance
Jack,Fiction
I Shot Andy Warhol,Drama
The Grass Harp,Family
Someone Else's America,Drama
Life is Rosy,Romance
Quartier Mozart,Unknown
Touki Bouki,Romance
God's Gift,Drama
Spirits of the Dead,Horror
Babyfever,Unknown
Pharaoh's  Army,War
Trainspotting,Crime
Til There Was You,Romance
Independence Day,Fiction
Stealing Beauty,Romance
The Fan,Thriller
The Hunchback of Notre Dame,Family
The Cable Guy,Thriller
Kingpin,Comedy
Eraser,Thriller
The Gate of Heavenly Peace,Documentary
The Nutty Professor,Fiction
"I, the Worst of All",Foreign
An Unforgettable Summer,War
A Hungarian Fairy Tale,Unknown
My Life and Times With Antonin Artaud,Unknown
Midnight Dancers,Unknown
Somebody to Love,Drama
A Very Natural Thing,Drama
The Old Lady Who Walked in the Sea,Comedy
Daylight,Thriller
The Frighteners,Comedy
Lone Star,Romance
Harriet the Spy,Family
Phenomenon,Fiction
Walking and Talking,Romance
She's the One,Romance
A Time to Kill,Thriller
American Buffalo,Drama
Rendezvous in Paris,Comedy
Alaska,Adventure
Fled,Thriller
Kazaam,Family
Magic Hunter,Unknown
Larger Than Life,Comedy
A Boy Called Hate,Unknown
Power 98,Thriller
Two Deaths,Drama
A Very Brady Sequel,Comedy
Stefano Quantestorie,Comedy
Death in the Garden,Drama
Hedd Wyn,Drama
La Collectionneuse,Romance
Kaspar Hauser,Foreign
Regular Guys,Foreign
Diebinnen,Drama
The Convent,Thriller
The Adventures of Pinocchio,Fantasy
Joe's Apartment,Music
The First Wives Club,Comedy
Stonewall,Comedy
Ransom,Thriller
High School High,Comedy
Phat Beach,Comedy
Foxfire,Thriller
Chain Reaction,Thriller
Matilda,Fantasy
Emma,Romance
The Crow: City of Angels,Thriller
House Arrest,Family
Eyes Without a Face,Thriller
Bordello of Blood,Comedy
Lotto Land,Drama
The Story of Xinghua,Unknown
The Day the Sun Turned Cold,Unknown
Flirt,Romance
The Big Squeeze,Drama
The Spitfire Grill,Drama
Escape from L.A.,Thriller
Cyclo,Drama
Basquiat,History
Tin Cup,Romance
Dingo,Music
The Ballad of Narayama,Drama
Every Other Weekend,Drama
Mille bolle blu,Unknown
Crows and Sparrows,Unknown
The Godfather,Crime
Maybe... Maybe Not,Drama
Police Story 3: Supercop,Thriller
Manny & Lo,Comedy
Wife,Drama
Small Faces,Unknown
Bound,Thriller
Carpool,Family
Death in Brunswick,Drama
Kansas City,Crime
Gone Fishin',Family
Lover's Knot,Comedy
Vive L'Amour,Drama
Shadow of Angels,Drama
Killer: A Journal of Murder,Drama
Nothing to Lose,Drama
Project S,Crime
Girls Town,Drama
Bye-Bye,Drama
The Relic,Thriller
The Island of Dr. Moreau,Fiction
First Kid,Family
The Trigger Effect,Thriller
Sweet Nothing,Unknown
Bogus,Family
Bulletproof,Thriller
Talk of Angels,War
The Land Before Time III: The Time of the Great Giving,Family
1-900,Unknown
Baton Rouge,Thriller
Halloween: The Curse of Michael Myers,Thriller
Twelfth Night,Romance
Mother Night,History
Liebelei,Romance
Venice,Romance
Wild Reeds,Romance
For Whom the Bell Tolls,Thriller
The Philadelphia Story,Romance
Singin' in the Rain,Romance
An American in Paris,Romance
Funny Face,Romance
Breakfast at Tiffany's,Romance
Vertigo,Thriller
Rear Window,Thriller
It Happened One Night,Romance
Gaslight,Crime
The Gay Divorcee,Romance
North by Northwest,Thriller
The Apartment,Romance
Some Like It Hot,Romance
Charade,Thriller
Casablanca,Romance
The Maltese Falcon,Thriller
My Fair Lady,Romance
Sabrina,Romance
Roman Holiday,Romance
The Little Princess,Family
Meet Me in St. Louis,Romance
The Wizard of Oz,Fantasy
Gone with the Wind,War
My Favorite Year,Drama
Sunset Boulevard,Drama
Citizen Kane,Drama
2001: A Space Odyssey,Adventure
Golden Earrings,Romance
All About Eve,Drama
The Women,Drama
Rebecca,Mystery
Foreign Correspondent,War
Notorious,Romance
Spellbound,Thriller
An Affair to Remember,Romance
To Catch a Thief,Thriller
Father of the Bride,Romance
The Band Wagon,Music
Ninotchka,Romance
Love in the Afternoon,Romance
Gigi,Romance
The Reluctant Debutante,Romance
The Adventures of Robin Hood,Romance
The Mark of Zorro,Western
Laura,Mystery
The Ghost and Mrs. Muir,Mystery
Lost Horizon,Mystery
Top Hat,Romance
To Be or Not to Be,War
My Man Godfrey,Romance
Giant,Western
East of Eden,Drama
The Thin Man,Mystery
His Girl Friday,Drama
Around the World in Eighty Days,Romance
It's a Wonderful Life,Fantasy
Mr. Smith Goes to Washington,Drama
Bringing Up Baby,Romance
Penny Serenade,Romance
The Scarlet Letter,Drama
Lady of Burlesque,Romance
Of Human Bondage,Drama
Angel on My Shoulder,Romance
Little Lord Fauntleroy,Family
They Made Me a Criminal,Mystery
The Inspector General,Romance
Angel and the Badman,Western
The 39 Steps,Mystery
A Walk in the Sun,Drama
The Outlaw,Western
Night of the Living Dead,Horror
The African Queen,Romance
Beat the Devil,Romance
Cat on a Hot Tin Roof,Romance
The Last Time I Saw Paris,Drama
Meet John Doe,Romance
Algiers,Romance
Something to Sing About,Comedy
A Farewell to Arms,War
Moonlight Murder,Mystery
Nothing Personal,Drama
"Yes, Madam",Foreign
Dangerous Ground,Drama
Picnic,Romance
Madagascar Skin,Unknown
The Pompatus of Love,Drama
Small Wonders,Family
Fly Away Home,Family
Bliss,Romance
Grace of My Heart,Music
Brother of Sleep,Drama
Maximum Risk,Thriller
Michael Collins,Thriller
The Rich Man's Wife,Thriller
Infinity,Romance
Big Night,Drama
Last Man Standing,Thriller
Caught,Thriller
Set It Off,Crime
2 Days in the Valley,Crime
Curdled,Thriller
L'associé,Comedy
Ed's Next Move,Unknown
Extreme Measures,Thriller
The Glimmer Man,Thriller
D3: The Mighty Ducks,Family
The Chamber,Drama
The Apple Dumpling Gang,Family
"Davy Crockett, King of the Wild Frontier",Western
Escape to Witch Mountain,Family
The Love Bug,Fantasy
Herbie Rides Again,Fantasy
Old Yeller,Western
The Parent Trap,Family
Pollyanna,Adventure
Homeward Bound: The Incredible Journey,Family
The Shaggy Dog,Family
Swiss Family Robinson,Family
That Darn Cat!,Comedy
"20,000 Leagues Under the Sea",Fiction
Cool Runnings,Comedy
Angels in the Outfield,Family
Cinderella,Romance
Winnie the Pooh and the Blustery Day,Music
The Three Caballeros,Music
The Sword in the Stone,Family
So Dear to My Heart,Family
Robin Hood: Prince of Thieves,Adventure
Mary Poppins,Fantasy
Dumbo,Family
Pete's Dragon,Family
Bedknobs and Broomsticks,Music
Alice in Wonderland,Fantasy
The Fox and the Hound,Family
Freeway,Thriller
The Sound of Music,Romance
Die Hard,Thriller
The Lawnmower Man,Fiction
Unhook the Stars,Romance
Synthetic Pleasures,Documentary
The Secret Agent,Thriller
Secrets & Lies,Drama
That Thing You Do!,Drama
To Gillian on Her 37th Birthday,Romance
Surviving Picasso,Romance
Love Is All There Is,Romance
Beautiful Thing,Romance
The Long Kiss Goodnight,Thriller
The Ghost and the Darkness,Adventure
Looking for Richard,Documentary
Trees Lounge,Drama
The Proprietor,Drama
Normal Life,Drama
Get on the Bus,Drama
Shadow Conspiracy,Thriller
Jude,Romance
Everyone Says I Love You,Romance
Bitter Sugar,Romance
Romeo + Juliet,Romance
Swingers,Romance
Sleepers,Thriller
The Sunchaser,Drama
Johns,Drama
Aladdin and the King of Thieves,Family
The Woman in Question,Mystery
Shall We Dance,Romance
A Damsel in Distress,Romance
Crossfire,Thriller
"Murder, My Sweet",Thriller
Macao,Romance
For the Moment,Action
Willy Wonka & the Chocolate Factory,Fantasy
The Sexual Life of the Belgians,Romance
The Innocents,Horror
Sleeper,Fiction
Bananas,Comedy
A Fish Called Wanda,Crime
Life of Brian,Comedy
Victor/Victoria,Romance
The Candidate,Drama
The Great Race,Comedy
Bonnie and Clyde,Drama
The Old Man and the Sea,Drama
Dial M for Murder,Thriller
Madame Butterfly,Unknown
Dirty Dancing,Romance
Reservoir Dogs,Thriller
Platoon,Action
Weekend at Bernie's,Comedy
Basic Instinct,Mystery
The Doors,Music
The Crying Game,Thriller
Glengarry Glen Ross,Mystery
Sophie's Choice,Romance
E.T. the Extra-Terrestrial,Fantasy
The Search for One-eye Jimmy,Comedy
A Christmas Carol,Family
Days of Thunder,Adventure
Top Gun,War
American Strays,Comedy
Rebel Without a Cause,Drama
A Streetcar Named Desire,Drama
Children of the Corn IV: The Gathering,Horror
The Leopard Son,Documentary
Charm's  Incidents,Comedy
Bird of Prey,Drama
Microcosmos,Documentary
Palookaville,Comedy
The Associate,Comedy
The Funeral,Drama
The Sleepover,Horror
A Single Girl,Drama
The Eighth Day,Drama
North Star,Western
Drunks,Drama
The People vs. Larry Flynt,Drama
Glory Daze,Comedy
A Perfect Candidate,Documentary
On Golden Pond,Drama
The Return of the Pink Panther,Crime
Drop Dead Fred,Family
The Abyss,Fiction
The Fog,Horror
Escape from New York,Action
The Howling,Horror
